Club extérieur;LATITUDE ext;LONGITUDE ext;PAYS
Angers;47,4736;-0,5542;FRANCE
Bordeaux;44,84;-0,58;FRANCE
Brest;48,39;-4,49;FRANCE
Clermont Foot;45,7831;3,0824;FRANCE
Lens;50,4322;2,8333;FRANCE
Lille;50,6278;3,0583;FRANCE
Lorient;47,75;-3,36;FRANCE
Lyon;45,76;4,84;FRANCE
Marseille;43,2964;5,37;FRANCE
Metz;49,1203;6,1778;FRANCE
Monaco;43,7383;7,4245;FRANCE
Montpellier;43,6119;3,8772;FRANCE
Nantes;47,2181;-1,5528;FRANCE
Nice;43,7034;7,2663;FRANCE
Paris SG;48,8566;2,3522;FRANCE
Rennes;49,2628;4,0347;FRANCE
St Etienne;48,1147;-1,6794;FRANCE
Stade de Reims;45,4347;4,3903;FRANCE
Strasbourg;48,5833;7,7458;FRANCE
Troyes;48,2997;4,0792;FRANCE
